oco_id;codigo_ocorrencia2;aeronave_fatalidades_total
453;45226;0
454;45227;0
455;45228;0
456;45229;0
457;45230;0
458;45230;0
459;45232;0
460;45233;0
461;45235;0
462;45236;0
463;45237;0
464;45238;0
465;45247;0
466;45250;1
467;45251;1
468;45252;0
469;45253;0
470;45267;4
471;45268;0
472;45269;0
473;45270;0
474;45271;0
475;45272;0
476;45273;0
477;45274;0
478;45277;0
479;45279;2
480;45280;1
481;45282;0
482;45284;0
483;45285;0
484;45286;1
485;45288;0
486;45289;0
487;45290;0
488;45291;0
489;45292;0
490;45293;0
491;45294;0
492;45296;0
493;45307;0
494;45310;1
495;45311;0
496;45312;0
497;45313;0
498;45327;0
499;45328;0
500;45329;0
501;45331;0
502;45332;0
503;45333;0
504;45334;0
505;45390;0
506;45391;0
507;45392;0
508;45393;0
509;45396;0
510;45397;0
511;45399;0
512;45400;0
513;45401;0
514;45403;0
515;45405;0
516;45407;0
517;45408;1
518;45409;3
519;45410;0
520;45412;2
521;45413;1
522;45414;0
523;45415;0
524;45417;0
525;45447;0
526;45450;0
527;45466;0
528;45469;0
529;45470;0
530;45487;4
531;45490;3
532;45522;0
533;45523;0
534;45524;0
535;45525;0
536;45526;1
537;45527;0
538;45528;0
539;45529;0
540;45553;0
541;45554;0
542;45564;0
543;45569;0
544;45570;0
545;45571;0
546;45572;0
547;45573;1
548;45576;0
549;45579;0
550;45580;0
551;45582;0
552;45584;0
553;45585;1
554;45586;0
555;45587;0
556;45588;0
557;45589;0
558;45594;0
559;45596;3
560;45597;0
561;45598;0
562;45599;0
563;45600;0
564;45601;0
565;45602;0
566;45604;0
567;45609;0
568;45610;0
569;45611;0
570;45612;0
571;45618;0
572;45619;0
573;45624;0
574;45625;0
575;45647;0
576;45651;0
577;45652;0
578;45653;0
579;45654;0
580;45655;0
581;45656;0
582;45658;0
583;45667;0
584;45668;0
585;45669;0
586;45670;0
587;45671;0
588;45677;0
589;45678;0
590;45680;0
591;45681;0
592;45682;0
593;45684;0
594;45685;0
595;45686;0
596;45689;0
597;45689;0
598;45689;0
599;45691;0
600;45692;0
601;45693;0
602;45694;0
603;45695;0
604;45696;0
605;45697;0
606;45698;0
607;45699;0
608;45700;0
609;45701;0
610;45703;0
611;45705;0
612;45706;0
613;45707;0
614;45709;0
615;45710;0
616;45711;0
617;45712;0
618;45713;0
619;45714;0
620;45715;0
621;45718;0
622;45719;0
623;45727;0
624;45728;0
625;45729;0
626;45730;0
627;45731;0
628;45732;1
629;45733;0
630;45734;0
631;45746;2
632;45747;0
633;45748;0
634;45749;0
635;45750;2
636;45751;0
637;45752;0
638;45753;0
639;45754;0
640;45755;0
641;45756;0
642;45757;1
643;45759;2
644;45760;0
645;45768;0
646;45769;0
647;45773;0
648;45774;0
649;45775;0
650;45776;0
651;45777;0
652;45778;0
653;45779;0
654;45780;0
655;45781;0
656;45783;0
657;45784;0
658;45785;0
659;45786;0
660;45789;0
661;45790;0
662;45791;0
663;45792;0
664;45793;0
665;45794;0
666;45795;0
667;45796;0
668;45797;0
669;45798;0
670;45799;0
671;45800;0
672;45801;0
673;45802;0
674;45803;0
675;45804;0
676;45819;8
677;45820;2
678;45821;0
679;45822;0
680;45829;0
681;45830;0
682;45831;0
683;45833;0
684;45834;0
685;45835;0
686;45841;0
687;45842;0
688;45843;0
689;45844;0
690;45845;0
691;45849;0
692;45850;0
693;45853;0
694;45854;0
695;45856;0
696;45857;0
697;45859;0
698;45860;0
699;45861;0
700;45862;0
701;45864;0
702;45865;0
703;45866;0
704;45867;0
705;45887;0
706;45889;0
707;45890;0
708;45891;0
709;45892;0
710;45894;0
711;45895;0
712;45897;0
713;45898;0
714;45899;0
715;45900;1
716;45901;0
717;45902;0
718;45903;0
719;45903;0
720;45904;0
721;45912;0
722;45913;0
723;45914;0
724;45915;0
725;45916;0
726;45917;0
727;45918;0
728;45927;0
729;45928;0
730;45929;0
731;45930;0
732;45931;0
733;45932;0
734;45933;0
735;45934;1
736;45935;0
737;45936;0
738;45937;0
739;45938;0
740;45939;0
741;45941;0
742;45942;0
743;45943;0
744;45944;0
745;45945;0
746;45946;0
747;45947;0
748;45948;0
749;45949;0
750;45950;0
751;45951;0
752;45952;0
753;45959;0
754;45960;0
755;45964;0
756;45972;0
757;45973;0
758;45980;0
759;45981;0
760;45982;0
761;45983;0
762;45985;0
763;45989;0
764;46019;0
765;46022;0
766;46024;0
767;46026;0
768;46029;0
769;46032;0
770;46036;0
771;46038;0
772;46042;0
773;46043;0
774;46045;2
775;46046;0
776;46048;0
777;46049;0
778;46052;0
779;46053;0
780;46055;0
781;46056;0
782;46067;0
783;46068;0
784;46069;0
785;46070;0
786;46072;0
787;46073;0
788;46092;1
789;46093;1
790;46094;0
791;46095;2
792;46096;0
793;46098;0
794;46105;0
795;46106;0
796;46109;0
797;46110;0
798;46111;0
799;46116;0
800;46117;0
801;46152;3
802;46153;2
803;46154;0
804;46155;0
805;46156;0
806;46157;0
807;46158;0
808;46159;0
809;46160;0
810;46161;0
811;46170;1
812;46171;0
813;46172;0
814;46173;0
815;46178;0
816;46179;0
817;46180;0
818;46181;0
819;46187;0
820;46188;0
821;46189;0
822;46190;0
823;46191;0
824;46192;0
825;46193;0
826;46194;0
827;46195;0
828;46196;0
829;46197;0
830;46198;0
831;46199;0
832;46200;0
833;46201;0
834;46202;8
835;46209;0
836;46210;0
837;46211;0
838;46212;0
839;46213;0
840;46214;0
841;46215;0
842;46216;0
843;46217;0
844;46218;0
845;46219;0
846;46253;0
847;46255;2
848;46255;0
849;46256;0
850;46257;0
851;46258;0
852;46259;0
853;46260;0
854;46261;0
855;46263;0
856;46264;0
857;46279;0
858;46280;0
859;46281;0
860;46282;0
861;46296;0
862;46297;0
863;46298;0
864;46299;0
865;46300;0
866;46301;0
867;46302;0
868;46305;2
869;46306;0
870;46307;0
871;46308;0
872;46309;1
873;46310;0
874;46311;0
875;46312;0
876;46336;0
877;46337;0
878;46338;0
879;46339;1
880;46340;0
881;46341;0
882;46342;0
883;46344;0
884;46345;0
885;46346;0
886;46347;0
887;46348;0
888;46349;0
889;46350;0
890;46354;1
891;46356;0
892;46358;0
893;46359;0
894;46362;0
895;46368;0
896;46371;0
897;46373;0
898;46377;0
899;46378;0
900;46379;0
901;46411;0
902;46412;2
903;46413;0
904;46414;0
905;46415;0
906;46416;0
907;46417;0
908;46418;0
909;46419;1
910;46431;0
911;46432;0
912;46433;0
913;46434;1
914;46435;1
915;46436;0
916;46437;3
917;46438;0
918;46439;0
919;46443;0
920;46444;1
921;46445;0
922;46446;0
923;46448;0
924;46449;0
925;46450;0
926;46451;0
927;46452;0
928;46453;0
929;46454;0
930;46455;0
931;46456;0
932;46471;0
933;46472;0
934;46473;0
935;46474;0
936;46475;0
937;46476;0
938;46477;0
939;46478;0
940;46479;0
941;46480;0
942;46481;0
943;46484;0
944;46485;0
945;46486;0
946;46487;0
947;46495;0
948;46496;0
949;46497;0
950;46498;0
951;46499;0
952;46512;0
953;46513;0
954;46514;0
955;46515;0
956;46516;0
957;46517;0
958;46518;0
959;46519;0
960;46520;0
961;46521;0
962;46522;0
963;46523;0
964;46562;0
965;46563;0
966;46564;0
967;46565;0
968;46566;0
969;46567;0
970;46568;0
971;46569;0
972;46570;0
973;46571;1
974;46572;0
975;46573;0
976;46574;0
977;46575;0
978;46576;0
979;46577;0
980;46581;2
981;46582;4
982;46583;4
983;46584;0
984;46585;0
985;46586;0
986;46587;0
987;46588;2
988;46589;1
989;46590;0
990;46591;2
991;46592;0
992;46593;0
993;46594;0
994;46597;0
995;46598;0
996;46599;0
997;46600;0
998;46601;0
999;46602;0
1000;46603;0
1001;46604;0
1002;46605;0
1003;46606;0
1004;46612;0
1005;46613;0
1006;46614;0
1007;46615;0
1008;46616;0
1009;46617;0
1010;46618;0
1011;46624;0
1012;46625;0
1013;46626;0
1014;46627;0
1015;46628;0
1016;46629;0
1017;46630;0
1018;46633;0
1019;46638;0
1020;46639;0
1021;46640;0
1022;46647;0
1023;46648;0
1024;46649;0
1025;46650;0
1026;46651;0
1027;46652;0
1028;46653;0
1029;46655;0
1030;46671;0
1031;46672;0
1032;46673;0
1033;46674;0
1034;46675;0
1035;46676;0
1036;46677;0
1037;46679;0
1038;46680;0
1039;46681;0
1040;46682;0
1041;46683;0
1042;46684;0
1043;46685;0
1044;46686;0
1045;46687;0
1046;46688;0
1047;46689;0
1048;46691;0
1049;46692;0
1050;46693;0
1051;46694;0
1052;46695;0
1053;46696;0
1054;46698;0
1055;46699;0
1056;46701;0
1057;46702;0
1058;46703;0
1059;46704;0
1060;46705;0
1061;46706;0
1062;46707;0
1063;46708;0
1064;46710;1
1065;46712;0
1066;46713;0
1067;46714;0
1068;46715;0
1069;46716;0
1070;46717;0
1071;46718;0
1072;46719;0
1073;46720;0
1074;46721;0
1075;46722;0
1076;46723;0
1077;46734;0
1078;46735;0
1079;46746;0
1080;46747;0
1081;46748;0
1082;46749;0
1083;46750;0
1084;46751;1
1085;46752;0
1086;46753;0
1087;46754;0
1088;46755;0
1089;46756;0
1090;46757;0
1091;46758;0
1092;46759;0
1093;46760;0
1094;46761;0
1095;46762;0
1096;46763;0
1097;46764;0
1098;46765;0
1099;46766;0
1100;46767;0
1101;46768;0
1102;46780;1
1103;46781;1
1104;46782;0
1105;46783;0
1106;46784;0
1107;46785;0
1108;46786;0
1109;46787;0
1110;46788;0
1111;46789;0
1112;46790;0
1113;46791;0
1114;46792;0
1115;46793;0
1116;46811;0
1117;46812;0
1118;46813;0
1119;46814;0
1120;46819;0
1121;46820;0
1122;46821;0
1123;46822;0
1124;46823;0
1125;46839;0
1126;46840;2
1127;46841;0
1128;46842;2
1129;46844;0
1130;46845;2
1131;46846;2
1132;46847;0
1133;46850;0
1134;46852;0
1135;46853;0
1136;46854;1
1137;46855;1
1138;46856;0
1139;46857;2
1140;46858;0
1141;46859;0
1142;46860;0
1143;46861;0
1144;46862;0
1145;46863;0
1146;46864;0
1147;46865;0
1148;46866;0
1149;46868;0
1150;46869;0
1151;46870;0
1152;46871;0
1153;46872;0
1154;46873;0
1155;46874;0
1156;46876;0
1157;46877;0
1158;46878;0
1159;46879;0
1160;46881;0
1161;46883;0
1162;46884;0
1163;46885;0
1164;46896;0
1165;46897;0
1166;46898;0
1167;46900;0
1168;46901;0
1169;46904;0
1170;46905;0
1171;46910;0
1172;46914;0
1173;46916;1
1174;46918;0
1175;46919;0
1176;46921;0
1177;46922;0
1178;46969;5
1179;46972;0
1180;46973;0
1181;46977;0
1182;46980;0
1183;46982;0
1184;46984;0
1185;46987;0
1186;47011;0
1187;47012;0
1188;47013;0
1189;47014;0
1190;47015;0
1191;47016;0
1192;47017;0
1193;47018;0
1194;47019;1
1195;47023;0
1196;47024;0
1197;47025;0
1198;47042;0
1199;47047;1
1200;47048;0
1201;47049;0
1202;47050;0
1203;47052;0
1204;47053;0
1205;47054;0
1206;47055;0
1207;47056;0
1208;47057;0
1209;47058;0
1210;47059;0
1211;47060;0
1212;47061;0
1213;47062;0
1214;47063;0
1215;47064;0
1216;47065;0
1217;47074;0
1218;47075;0
1219;47080;0
1220;47081;0
1221;47082;0
1222;47083;0
1223;47084;0
1224;47085;0
1225;47086;0
1226;47087;0
1227;47095;0
1228;47096;0
1229;47097;0
1230;47098;0
1231;47099;0
1232;47100;0
1233;47102;0
1234;47108;2
1235;47109;0
1236;47110;0
1237;47111;0
1238;47112;0
1239;47113;0
1240;47114;0
1241;47115;0
1242;47116;0
1243;47117;0
1244;47131;0
