codigo_ocorrencia2;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;matricula;assentos
44820;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PPGUT;2
44828;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;NENHUM;0;PTHVK;2
44834;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRBGB;21
44836;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;LEVE;0;PTMXI;232
44837;FAZENDA SOROTECA;CÁCERES;CIRCUITO DE TRÁFEGO;SUBSTANCIAL;0;PTNJC;4
44838;DEPUTADO LUÍS EDUARDO MAGALHÃES;BAHIA - JORGE AMADO;POUSO;LEVE;0;PTLHH;10
44843;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PURVX;2
44845;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;SUBSTANCIAL;0;PUXRV;2
44846;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PTEPX;8
44850;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;DESTRUÍDA;2;PUCSE;2
44851;FORA DE AERODROMO;FORA DE AERODROMO;ESTACIONAMENTO;LEVE;0;N478TA;0
44853;FORA DE AERODROMO;FORA DE AERODROMO;ARREMETIDA NO SOLO;***;0;PRRCE;2
44855;FORA DE AERODROMO;MINISTRO VICTOR KONDER;SUBIDA;SUBSTANCIAL;3;PRJGM;6
44856;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRABD;6
44858;CORRENTINA;PRESIDENTE JUSCELINO KUBITSCHEK;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PRVTT;6
44859;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PTRDF;7
44863;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PRACG;6
44865;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PPPTY;73
44878;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;DESTRUÍDA;0;PTJEP;6
44879;CAMPO DE MARTE;CAMPO DE MARTE;OPERAÇÃO DE SOLO;SUBSTANCIAL;0;PTHRL;2
44880;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTYTL;2
44881;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PPHPB;2
44882;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PTVJP;6
44884;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PRJAF;21
44885;VIGANÓ I;PASSA TEMPO;CRUZEIRO;SUBSTANCIAL;0;PTHCZ;5
44887;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;LEVE;0;PTNEX;4
44888;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRNHC;21
44890;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRIOG;5
44891;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PROAT;107
44892;FORA DE AERODROMO;FORA DE AERODROMO;RETA FINAL;LEVE;0;PRABB;6
44893;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PTOAM;8
44897;FORA DE AERODROMO;FORA DE AERODROMO;PARTIDA DO MOTOR;NENHUM;0;PRLCA;14
44901;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PRSEG;13
44902;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;SUBSTANCIAL;0;PTENO;10
44903;SOROCABA;SOROCABA;SUBIDA;NENHUM;0;PPHBL;2
44906;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PPNLX;17
44907;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PRWJF;156
44917;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PPPTO;73
44920;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;NENHUM;0;PRTKD;50
44921;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRAYQ;125
44922;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRLRR;10
44924;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTUOD;1
44926;CARLOS PRATES;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PTCNG;2
44927;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRWJB;156
44935;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PROMH;15
44939;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PTCKB;6
44942;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PUVBC;2
44944;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;DESTRUÍDA;2;PPXIG;4
44944;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PTKYD;6
44945;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;NENHUM;0;PRAVB;141
44947;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;LEVE;0;PRTOO;6
44951;FORA DE AERODROMO;FORA DE AERODROMO;RETA FINAL;LEVE;0;PRWJA;156
44955;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PTRVJ;7
44957;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;LEVE;0;PRVDV;4
44959;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PTDYZ;6
44964;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PROME;14
44965;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;LEVE;0;PRWJU;156
44966;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;LEVE;0;PTGPB;1
44967;SALGADO FILHO;BELÉM NOVO;POUSO;SUBSTANCIAL;0;PTIUN;6
44968;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PPGMR;2
44969;FORA DE AERODROMO;FORA DE AERODROMO;ARREMETIDA NO SOLO;LEVE;0;PPGMA;2
44974;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PTOCW;20
44975;SANTA GENOVEVA/GOIÂNIA;GURUPI;POUSO;SUBSTANCIAL;0;PTDRY;4
44977;SANTOS DUMONT;JACAREPAGUÁ;CORRIDA APÓS POUSO;LEVE;0;PRSNM;6
44983;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;LEVE;0;PPGLJ;3
44986;PETROBRAS 65;MACAÉ;SUBIDA;DESTRUÍDA;4;PRSEK;14
44988;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTXCG;6
44990;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PRHRR;21
44992;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PRDIN;8
44993;RECREIO;RECREIO;MANOBRA;SUBSTANCIAL;0;PTHVX;2
44995;FORA DE AERODROMO;CORUMBÁ;DESCIDA;SUBSTANCIAL;0;PTBGZ;4
44996;SOURE;BREVES;POUSO;LEVE;0;PTNCO;4
