codigo_ocorrencia2;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;matricula;assentos
50552;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;NENHUM;0;PPFXH;4
50554;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;DALCE;0
50556;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PTEZS;7
50557;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PPPJV;113
50558;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PTREY;6
50559;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;NENHUM;0;PTMUA;382
50560;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PTNZD;4
50561;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;LEVE;0;PTLSJ;10
50562;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;LEVE;0;PRAVQ;172
50563;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;LEVE;0;PPEJG;10
50564;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRSDJ;8
50565;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRAYZ;125
50654;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;LEVE;0;PRFBU;8
50672;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PRECB;7
50673;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;LEVE;0;PTYZQ;7
50674;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PPFGM;3
50692;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;LEVE;0;PUTMV;2
50693;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PUJIV;2
50712;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;DESTRUÍDA;2;PUBOK;2
50713;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTKYP;2
50714;PINTO MARTINS;CAMOCIM;POUSO;SUBSTANCIAL;0;PTESI;6
50753;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;DESTRUÍDA;0;PTZSR;0
50771;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTUYV;1
50791;AVL;AVL;MANOBRA;DESTRUÍDA;0;PPABW;2
50792;TERUEL IPANEMA ESTÂNCIA;FORA DE AERODROMO;ARREMETIDA NO AR;SUBSTANCIAL;0;PTAVC;2
50794;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTUBR;1
50797;CACHOEIRA DO SUL;CACHOEIRA DO SUL;CIRCUITO DE TRÁFEGO;NENHUM;2;PPDFW;2
50799;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTVZT;1
50800;SANTO ANTÔNIO DE LEVERGER;RONDONÓPOLIS;DECOLAGEM;SUBSTANCIAL;0;PTNQQ;4
50801;SOROCABA;AMERICANA;PARTIDA DO MOTOR;SUBSTANCIAL;0;PPMCI;4
50801;ADALBERTO MENDES DA SILVA;SOROCABA;TÁXI;SUBSTANCIAL;0;PTMEO;11
50802;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PRGLP;1
50803;FAZENDA PERDIZES;BACACHERI;DECOLAGEM;SUBSTANCIAL;0;PRJTP;4
50804;DONA IRACEMA;SÍTIO FLYER;CRUZEIRO;SUBSTANCIAL;3;PTOMX;6
50805;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;DESTRUÍDA;1;PTGHZ;1
50806;FORA DE AERODROMO;FORA DE AERODROMO;OPERAÇÃO DE SOLO;NENHUM;1;PTGEZ;1
50807;AERÓDROMO NACIONAL DE AVIAÇÃO;AERÓDROMO NACIONAL DE AVIAÇÃO;CRUZEIRO;SUBSTANCIAL;0;PRBRP;2
50808;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;DESTRUÍDA;2;PTYMF;4
50809;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;NENHUM;2;PTYFV;2
50810;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTFED;7
50812;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTUYF;1
50831;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;DESTRUÍDA;4;PRGFD;0
50838;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;DESTRUÍDA;0;PTWER;1
50916;FAZENDA ÁGUA LIMPA;LÁBREA;TÁXI;LEVE;0;PTEBM;7
50918;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;1;PUFIN;2
50919;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;SUBSTANCIAL;0;PTUGC;1
50921;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRTKJ;73
50922;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PRAQJ;75
50923;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;HK5000;0
50952;ARAGUAÍNA;ARAGUAÍNA;DECOLAGEM;SUBSTANCIAL;1;PRVPI;6
50972;ITAITUBA;JACAREACANGA;DESCIDA;DESTRUÍDA;5;PRLMN;6
50973;SÍLVIO NAME JÚNIOR;ARAPONGAS;POUSO;SUBSTANCIAL;0;PTIHS;6
50974;ESTÂNCIA SANTA MARIA;FAZENDA ARARAS;APROXIMAÇÃO FINAL;SUBSTANCIAL;0;PRRIU;0
50975;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTUSY;1
50976;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTOYF;2
50977;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;1;PTUHL;1
50978;JUÍNA;ARIPUANÃ;CRUZEIRO;SUBSTANCIAL;0;PTEII;6
50979;MANUEL URBANO;SANTA ROSA DO PURUS;POUSO;SUBSTANCIAL;0;PTEVN;6
50980;ITAITUBA;JACAREACANGA;ESPECIALIZADA;SUBSTANCIAL;1;PTUIB;1
50981;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;SUBSTANCIAL;0;PTUDL;1
50983;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PRKSF;1
50984;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTUFB;1
50985;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTVZI;1
50991;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;SUBSTANCIAL;1;PRGPB;6
50992;HELICENTRO RIBEIRÃO PRETO;HELICENTRO RIBEIRÃO PRETO;MANOBRA;SUBSTANCIAL;2;PPSSP;2
50993;AEROCLUBE DE PASSO FUNDO;AEROCLUBE DE PASSO FUNDO;MANOBRA;NENHUM;0;PPHJA;2
50994;MARECHAL CUNHA MACHADO;FORA DE AERODROMO;CRUZEIRO;SUBSTANCIAL;0;PTEMC;7
50995;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTUEA;1
50996;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;DESTRUÍDA;1;PTGYC;1
50998;CASSILÂNDIA;SANTA RITA DO ARAGUAIA;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTLJB;7
50999;SENADOR NILO COELHO;PRESIDENTE JUSCELINO KUBITSCHEK;CRUZEIRO;SUBSTANCIAL;0;PROAF;107
51000;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;POUSO;SUBSTANCIAL;0;PTOIW;4
51001;ARIPUANÃ;FORA DE AERODROMO;OUTRA FASE;DESTRUÍDA;4;PTROS;6
51002;REGIONAL DE RIO GRANDE;REGIONAL DE RIO GRANDE;SUBIDA;SUBSTANCIAL;0;PPGUJ;2
51003;FORA DE AERODROMO;FLORES;CRUZEIRO;SUBSTANCIAL;0;PTISH;7
51004;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;DESTRUÍDA;0;PRVAJ;1
51005;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTWUZ;1
51006;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTGIH;1
51007;SOROCABA;CAMPO DE MARTE;POUSO;SUBSTANCIAL;0;PROPJ;6
51008;FAZENDA RIO FONTOURA;AMERICANA;POUSO;SUBSTANCIAL;0;PTXBM;6
51009;NOVO PROGRESSO;FORA DE AERODROMO;ARREMETIDA NO AR;DESTRUÍDA;2;PRWCO;6
51010;PRESIDENTE JUSCELINO KUBITSCHEK;BRIGADEIRO ARARIPE MACEDO;APROXIMAÇÃO FINAL;SUBSTANCIAL;0;PRFPL;5
51011;DRAGÃO DO AR;FORA DE AERODROMO;VOO A BAIXA ALTURA;SUBSTANCIAL;0;PTHTQ;7
51012;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;DESTRUÍDA;2;PRZOP;4
51013;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;DESTRUÍDA;0;PUSOR;2
51015;PROFESSOR URBANO ERNESTO STUMPF;ITANHAÉM;MANOBRA;NENHUM;0;PTWGV;2
51016;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PUZEP;2
51017;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PROVA;4
51018;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PRZHD;4
51019;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PRCHI;14
51020;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;NENHUM;0;PTMZX;184
51021;HÉLIO WASUM;SANTIAGO;CRUZEIRO;NENHUM;0;PRFIB;6
51022;TERUEL IPANEMA ESTÂNCIA;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;***;0;PTYAR;4
51023;BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PTEPW;7
51024;RESENDE;CORONEL NEWTON BRAGA;POUSO;SUBSTANCIAL;0;PTMDA;4
51025;GOVERNADOR JOSÉ RICHA;GOVERNADOR JOSÉ RICHA;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PPGMR;2
51026;BACACHERI;FORA DE AERODROMO;TÁXI;SUBSTANCIAL;0;PPFHN;2
51027;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;APROXIMAÇÃO FINAL;NENHUM;0;PROAL;107
51031;CARAJÁS;BRIGADEIRO LYSIAS RODRIGUES;DESCIDA;NENHUM;0;PREDW;10
51032;DIX-SEPT ROSADO;AÇU;POUSO;SUBSTANCIAL;0;PTONB;6
51033;ABA;CORRENTINA;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTWPZ;6
51052;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTCVP;6
51053;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTGTB;1
51054;CATARATAS;SÍLVIO NAME JÚNIOR;APROXIMAÇÃO FINAL;NENHUM;0;PRCTM;6
51055;PARÁ DE MINAS;HELICENTRO BH;VOO A BAIXA ALTURA;LEVE;0;PTYDW;2
51071;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;SUBSTANCIAL;0;PPGKB;2
51072;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;NENHUM;0;PPEHY;6
51073;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PRFAR;17
51074;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;LEVE;0;PROMK;21
51075;AEROCLUBE DE JOÃO PESSOA;PINTO MARTINS;OUTRA FASE;SUBSTANCIAL;0;PRVIU;4
51076;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PPPMT;5
51077;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTRQK;6
51078;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;LEVE;0;PRGGY;193
51079;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;NENHUM;0;PRBRU;30
51080;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PRIMI;14
51080;FORA DE AERODROMO;FORA DE AERODROMO;ESTACIONAMENTO;LEVE;0;PROHI;22
51081;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRSEC;14
51082;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRAVJ;129
51083;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PRMHA;184
51084;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PRGTL;194
51086;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PRGTC;194
51087;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PUHVL;2
51091;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRAYS;125
51092;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRTKH;52
51093;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PPWRV;10
51094;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRJSR;11
51095;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;NENHUM;0;PRRJJ;6
51096;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PTHGB;5
51097;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PTMTT;5
51098;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PPPJM;113
51099;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;NENHUM;0;PRRRP;4
51111;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PREMI;4
51112;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PTEPR;6
51131;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PTLSJ;10
51132;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PRSHL;14
51133;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRAZC;112
51134;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRAYL;125
51135;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRTKI;73
51137;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PUBIK;2
51139;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;NENHUM;0;PTAER;1
51140;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PRATZ;75
51141;FORA DE AERODROMO;FORA DE AERODROMO;ARREMETIDA NO SOLO;NENHUM;0;PREJB;2
51142;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;LEVE;0;PRMBE;166
51143;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PTJJB;8
51144;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PRJAI;6
51145;FORA DE AERODROMO;FORA DE AERODROMO;OPERAÇÃO DE SOLO;LEVE;0;PTWHC;10
51146;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PTOTC;11
51147;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;LEVE;0;PPGLE;2
51148;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;LEVE;0;PRFLM;6
51149;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRAYH;125
51151;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PTVIZ;6
51153;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;LEVE;0;PPGGG;2
51154;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRAQE;75
51155;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;NENHUM;0;PRLCH;14
51156;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PPJBP;8
51157;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PPKGN;6
51158;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PTOBL;6
51159;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PRAFB;6
51160;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;NENHUM;0;PTKLG;2
51161;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PTVSN;6
51162;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;LEVE;0;PPNIV;7
51163;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;LEVE;0;PTUZL;1
51164;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;NENHUM;0;PRLDT;14
51165;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRGXJ;199
51179;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PTLLH;6
51181;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PTMTT;5
51182;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRJMS;2
51185;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRAZF;113
51186;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PPJAG;9
51189;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;N901AR;0
51211;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PTKBV;4
51258;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PRCCM;7
51259;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;LEVE;0;PTWPZ;6
51260;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PTEUR;3
51261;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PRGPJ;2
51262;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PRWSM;10
51263;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PPPTX;73
51264;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PTWHV;6
51265;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;SUBSTANCIAL;0;PRTAH;9
51266;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;LEVE;0;PTHLA;6
51267;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PTIZI;4
51268;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PTTIC;10
51269;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PTHLA;6
51285;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRATB;75
51302;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRGOY;152
51304;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PRBIA;8
51307;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRATE;75
51308;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRTTK;52
51309;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PTWJS;11
51310;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRTKD;50
51314;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PTLHH;10
51315;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PTHAX;2
51317;FORA DE AERODROMO;FORA DE AERODROMO;ARREMETIDA NO SOLO;LEVE;0;PRHFE;2
51318;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;SUBSTANCIAL;0;PPMEL;4
51319;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;NENHUM;0;PRSDL;6
51320;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PTVGV;6
51321;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PRJAJ;6
51322;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRIOC;5
51323;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;LEVE;0;PROAI;107
51324;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRAXJ;125
51325;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PRCCA;0
51326;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRIOG;5
51327;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PRRJV;6
51328;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRTKA;73
51330;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRBGM;21
51336;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PTNKU;4
51337;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PRCCM;7
51338;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTIDP;6
51339;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PTHVM;2
51340;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PRPDD;73
51341;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PTEOS;7
51342;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PTMTT;5
51343;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PTNVB;4
51344;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PPPTO;73
51345;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PTMTT;5
51346;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;LEVE;0;PROTK;10
51347;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PRVDN;7
51391;CLUBE DE VOO ITAIPU;BACACHERI;POUSO;SUBSTANCIAL;0;PTDRY;4
51393;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTUNB;1
51394;ESTÂNCIA HÉRCULES;ESTÂNCIA HÉRCULES;CIRCUITO DE TRÁFEGO;SUBSTANCIAL;0;PTSNI;4
51412;CACHOEIRA DO SUL;CACHOEIRA DO SUL;MANOBRA;DESTRUÍDA;2;PTAGS;2
51413;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PRJAC;4
51414;PORTO URUCU;EDUARDO GOMES;DECOLAGEM;SUBSTANCIAL;0;PRTKB;50
51416;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;DESTRUÍDA;5;PTYJJ;6
51417;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PTRTB;6
51418;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;LEVE;0;PREJF;1
51419;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;DESTRUÍDA;0;PRZAL;4
51420;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;NENHUM;0;PRZNP;1
51421;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PUAZS;2
51432;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;SUBSTANCIAL;0;PTEFL;7
51433;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTZHU;1
51433;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTZRP;2
51434;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;SUBSTANCIAL;0;PUURA;2
51435;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;DESTRUÍDA;1;PUXXX1;0
51436;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;SUBSTANCIAL;1;PUPFU;2
51436;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;LEVE;1;PURDI;2
51437;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;NENHUM;0;PPZZZ;0
51438;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PPXEX;2
51439;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PPGSG;2
51440;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;LEVE;0;PRSTJ;8
51441;ADALBERTO MENDES DA SILVA;PATROCÍNIO;POUSO;SUBSTANCIAL;0;PTJRS;7
51442;FORA DE AERODROMO;FORA DE AERODROMO;PAIRADO;LEVE;0;PRHFC;6
51443;SOROCABA;ITANHAÉM;POUSO;LEVE;0;PTJJR;4
51444;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PPEPV;11
51445;CARAZINHO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTGXF;1
51446;JATAÍ;SANTA GENOVEVA/GOIÂNIA;APROXIMAÇÃO FINAL;LEVE;0;PTWMM;6
51448;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTLNG;8
51449;FAZENDA RIO AZUL;PRESIDENTE JOÃO BATISTA FIGUEIREDO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTWHT;6
51451;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;NENHUM;0;PRXZB;6
51452;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRAXN;125
51453;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PRMAA;184
51454;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PRVBF;197
51455;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PTLSJ;10
51456;FORA DE AERODROMO;FORA DE AERODROMO;ESTACIONAMENTO;LEVE;0;PRATV;75
